FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
145;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003784182000003966;8.940707702662593e-7
146;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.006825864495996933;0.0000025704500237094967
147;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0034179680000079316;7.264313068404522e-7
148;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.004888851344384698;0.0000011343509473577714
149;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.006731802269302804;0.0000017602006330465794
150;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.00561523200008196;0.0000017881377563925378
151;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0034179680000079316;7.264313068404522e-7
152;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.020409997044931745;0.00001326575641440527
153;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.005931672433198554;0.0000021792951106266162
154;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0034179699999867807;7.264322223577702e-7
155;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.029134465073777566;0.00001859105995087987
156;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.008029167025416983;0.0000036805857620177875
157;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.006276343279569443;0.0000021420423068334753
158;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.03136515122776018;0.000017184763624141015
159;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003906248000021151;9.499480686239217e-7
160;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.0051867854847127085;0.000001162290786733802
161;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0070800800000370145;0.0000031329708004327583
162;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;sedang;0.005615234000174496;0.0000018365674420668364
163;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.0033635164360053147;5.383042860194597e-7
164;;;SRGI 2013;18e7acbc-b25d-4089-bca1-78f546260902;BPBD Provinsi Jawa Barat;tinggi;0.003695697292511755;6.332994956867934e-7
