FID;Nama Objek;Kode Unsur;Spatial Reference Spatial Identifier;Metadata;Catatan;Kelas;Shape_Length;Shape_Area
249;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003329096703765869;5.327167148672702e-7
250;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.025162383860984246;0.000034498047366056614
251;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.10880482065967201;0.0002185944398490552
252;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003259041207318738;5.085023908526247e-7
253;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0035591731918704623;6.05359290119248e-7
254;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003559174366445316;6.053596868574303e-7
255;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.00998761143086906;0.0000041741875257993875
256;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.028997210181888087;0.00003525987311353542
257;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.018430397250947413;0.000014258551572013383
258;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0061561597467736226;0.000001790001673673205
259;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.021339625882972835;0.000014584508104318973
260;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003329096703671141;5.327167148360452e-7
261;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.010402303985058925;0.0000027734781599155133
262;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.006569207952503297;0.0000024344777765241114
263;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01489943833940658;0.000008726491270903016
264;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.12274727801183886;0.0002141892896881313
265;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.04090303125545028;0.00008374080369002117
266;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034179680001216184;7.264313068924939e-7
267;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011912572519459675;0.000005733221529068522
268;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.010620117999906142;0.000007048250327938051
269;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.011276827408145128;0.0000051502120961782726
270;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.03301639171396706;0.00005258619881434367
271;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.005493164000085926;0.0000017285350647798632
272;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0032590388037655365;5.085015973953422e-7
273;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01994741233162435;0.000021351500393956495
274;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0035591731918508704;6.053592901105745e-7
275;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.004990156819249067;0.0000010412187089643654
276;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.06434885832186776;0.00007891282358764111
277;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.014567209656337402;0.000010237097694373198
278;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.003329095527459358;5.327163181342922e-7
279;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;rendah;0.021172688136612716;0.000016754490952660978
280;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.014194397099334366;0.000011347234317849898
281;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.0034793291563377676;5.811453628531931e-7
282;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.01118827372820455;0.000004928559923267006
283;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.08867930275659897;0.00010968558788806984
284;;;SRGI 2013;8d647151-e524-433a-8ce4-5de355176d8d;BPBD Provinsi Jawa Barat;tinggi;0.021237243147271913;0.00002495758350859292
